保守,(politically) conservative; to guard; to keep,
保卫,to defend; to safeguard,
保险,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4],
保养,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,
保障,to ensure; to guarantee; to safeguard,
保证,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4],
保重,take care of oneself,
抱,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,
报仇,to revenge (oneself); to avenge,
报酬,reward; remuneration,
报答,to repay; to requite,
报到,report for duty; check in; register,
报道,"report; CL:篇[pian1],份[fen4]",
爆发,to break out; to erupt; to explode; to burst out,
报复,to make reprisals; to retaliate; revenge; retaliation,
抱负,aspiration; ambition,
报告,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",
曝光,exposure (e.g. of photosensitive material); to expose (a scandal to the public),
暴力,violence; (use) force; violent,
暴露,to expose; to reveal; to lay bare,
报名,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,
抱歉,sorry; We apologize!; to feel apologetic; to regret,
报社,general office of a newspaper; newspaper office; CL:家[jia1],
报销,submit an expense account; apply for reimbursement; write-off; wipe out,
抱怨,to complain; to grumble,
爆炸,explosion; to explode; to blow up; to detonate,
报纸,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",
悲哀,grieved; sorrowful,
卑鄙,base; mean; contemptible; despicable,
悲惨,miserable; tragic,
悲观,pessimistic,
杯子,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",
北方,north; the northern part a country; China north of the Yellow River,
北极,the North Pole; the Arctic Pole; the north magnetic pole,
北京,"Beijing, capital of People's Republic of China; Peking; PRC government",
倍,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",
被,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),
背,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory,
被动,passive,
备份,backup,
被告,defendant,
背景,background; backdrop; context; CL:種|种[zhong3],
贝壳,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written",
背叛,to betray,
背诵,recite; repeat from memory,
备忘录,memorandum; aide-memoire; memorandum book,
被子,quilt; CL:床[chuang2],
奔波,rush about; be busy running about,
奔驰,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make",
本,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",
本科,undergraduate course; undergraduate (adjective),
本来,original; originally; at first; it goes without saying; of course,
本领,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]",
本能,instinct,
本钱,capital,
本人,the person himself; I (humble form used in speeches); oneself; myself; in person; personal,
本身,itself; in itself; per se,
本事,ability; skill; source material; original story,
本着,based on...; in conformance with..; taking as one's main principle,
本质,essence; nature; innate character; intrinsic quality,
笨,stupid; foolish; silly; slow-witted; clumsy,
笨拙,clumsy; awkward; stupid,
崩溃,to collapse; to crumble; to fall apart,
甭,need not; (contraction of 不 and 用),
蹦,to jump; to bounce; to hop,
迸发,to burst out; to gush; to spurt,
逼迫,to force; to compel; to coerce,
鼻涕,nasal mucus; snivel,
鼻子,"nose; CL:個|个[ge4],隻|只[zhi1]",
比,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",
彼此,each other; one another,
比方,analogy; instance,
笔记本,notebook; CL:本[ben3],
比较,compare; contrast; fairly; comparatively; relatively; quite; rather,
比例,proportion; scale,
比如,for example; for instance; such as,
比赛,"competition (sports etc); match; CL:場|场[chang3],次[ci4]",
比喻,metaphor; analogy; figure of speech; figuratively,
比重,proportion; specific gravity,
臂,arm,
弊病,malady; evil; malpractice; drawback; disadvantage,
必定,be bound to; be sure to,
弊端,malpractice; abuse; corrupt practice,
毕竟,after all; all in all; when all is said and done; in the final analysis,
避免,to avert; to prevent; to avoid; to refrain from,
必然,inevitable; certain; necessity,
闭塞,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking,
必需,to need; to require; essential; indispensable,
必须,to have to; must; compulsory; necessarily,
必要,necessary; essential; indispensable; required,
毕业,graduation; to graduate; to finish school,
碧玉,jasper,
鞭策,to spur on; to urge on; to encourage sb (e.g. to make progress),
编辑,to edit; to compile; editor; compiler,
边疆,border area; borderland; frontier; frontier region,
边界,boundary; border,
边境,frontier; border,
鞭炮,firecrackers; a string of small firecrackers; CL:枚[mei2],
边缘,edge; fringe; verge; brink; periphery; marginal; borderline,
编织 ,to weave; to knit; to plait; to braid,
扁,"flat; (old form of character 匾, horizontal tablet with inscription)",
贬低,to belittle; to disparage; to play down; to demean; to degrade; to devalue,
贬义,derogatory sense; negative connotation,
便,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,
遍,a time; everywhere; turn; all over; one time,
遍布,to cover the whole (area); to be found throughout,
变故,an unforeseen event; accident; misfortune,
辩护,to speak in defense of; to argue in favor of; to defend; to plead,
变化,change; variation; to change; to vary; CL:個|个[ge4],
辩解,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,
便利,convenient; easy; facilitate,
辩论,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]",
变迁,changes; vicissitudes,
辨认,to recognize; to identify,
便条,"(informal) note; CL:張|张[zhang1],個|个[ge4]",
便于,easy to; convenient for,
辩证,investigate; dialectical,
变质,to degenerate; to go bad; to deteriorate; metamorphosis,
辫子,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2]",
标本,specimen; sample; the root cause and symptoms of a disease,
标点,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4],
标记,sign; mark; symbol; to mark up,
飙升,to rise rapidly; to soar,
标题,title; heading; headline; caption; subject,
标志,sign; mark; symbol; symbolize; to indicate; to mark,
标准,(an official) standard; norm; criterion; CL:個|个[ge4],
表达,to voice (an opinion); to express; to convey,
表格,"form; table; CL:張|张[zhang1],份[fen4]",
表决,decide by vote; vote,
表面,surface; face; outside; appearance,
表明,to make clear; to make known; to state clearly; to indicate; known,
表情,(facial) expression; to express one's feelings; expression,
表示,to express; to show; to say; to state; to indicate; to mean,
表态,to declare one's position; to say where one stands,
表现,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),
表演,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],
表扬,to praise; to commend,
表彰,cite (in dispatches); commend,
憋,to choke; to stifle; to restrain; to hold back; to hold in (urine); to hold (one's breath),
别,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,
别人,other people; others; other person,
别墅,"villa; CL:幢[zhuang4],座[zuo4]",
别致,unusual; unique,
别扭,awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche; awkward (writing or speech),
宾馆,"guesthouse; CL:個|个[ge4],家[jia1]",
濒临,on the verge of; close to,
冰雹,"hail; hailstone; CL:場|场[chang2],粒[li4]",
冰箱,"icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]",
丙,"third of 10 heavenly stems 十天干; third in order; letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc; propyl",
饼干,"biscuit; cracker; cookie; CL:片[pian4],塊|块[kuai4]",
并存,to exist at the same time; to coexist,
病毒,virus,
并非,really isn't,
并列,to stand side by side; to be juxtaposed,
并且,and; besides; moreover; furthermore; in addition,
拨打,to call; to dial,
播放,to broadcast; to transmit,
波浪,wave,
玻璃,"glass; nylon; plastic; CL:張|张[zhang1],塊|块[kuai4]",
波涛汹涌,tumultuous situations,
剥削,to exploit; exploitation,
播种,to sow seeds; sowing; seed,
博大精深,wide-ranging and profound; broad and deep,
搏斗,to wrestle; to fight; to struggle,
博览会,exposition; international fair,
伯母,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[ge4],
薄弱,weak; frail,
博士,doctor; court academician (in feudal China); Ph.D.,
博物馆,museum,
脖子,neck; CL:個|个[ge4],
补偿,compensate; make up,
补充,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4],
补救,remedy,
哺乳,breast feeding; to suckle; to nurse,
补贴,to subsidize; subsidy; allowance,
捕捉,to catch; to seize; to capture,
不,(negative prefix); not; no,
布,cloth; to declare; to announce; to spread; to make known,
不安,unpeaceful; unstable; uneasy; disturbed; restless; worried,
不必,need not; does not have to,
不但,not only (... but also...),
不得不,have no choice or option but to; cannot but; have to; can't help it; can't avoid,
不得了,desperately serious; disastrous; extremely; exceedingly,
不得已,act against one's will; have no alternative but to; have to; to have no choice; must,
不断,unceasing; uninterrupted; continuous; constant,
步伐,pace; (measured) step; march,
不妨,there is no harm in; might as well,
部分,part; share; section; piece; CL:個|个[ge4],
不敢当,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me,
布告,posting on a bulletin board; notice; bulletin; to announce,
不顾,in spite of; regardless of,
不管,"no matter (what, how); regardless of; no matter",
不过,only; merely; no more than; but; however; anyway (to get back to a previous topic),
不好意思,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth),
不见得,not necessarily; not likely,
不禁,can't help (doing sth); can't refrain from,
不仅,not only (this one); not just (...) but also,
布局,arrangement; composition; layout; opening (chess jargon),
不堪,cannot bear; cannot stand; utterly; extremely,
不可思议,inconceivable (idiom); unimaginable; unfathomable,
不客气,you're welcome; impolite; rude; blunt; don't mention it,
不愧,be worthy of; deserve to be called; prove oneself to be,
不料,unexpectedly; to one's surprise,
部门,department; branch; section; division; CL:個|个[ge4],
不免,unavoidable,
不耐烦,impatience; impatient,
不然,not so; no; or else; otherwise; if not,
不如,not equal to; not as good as; inferior to; it would be better to,
不时,frequently; often; at any time,
部署,to dispose; to deploy; deployment,
部位,position; place,
不惜,not stint; not spare; not hesitate (to do sth); not scruple (to do sth),
不相上下,equally matched; about the same,
不像话,unreasonable; shocking; outrageous,
不屑一顾,to disdain as beneath contempt,
不言而喻,it goes without saying; it is self-evident,
不要紧,unimportant; not serious; it doesn't matter; never mind; it looks all right; but,
不由得,can't help; cannot but,
不择手段,by fair means or foul; by hook or by crook; unscrupulously,
不止,incessantly; without end; more than; not limited to,
布置,to put in order; to arrange; to decorate; to fix up; to deploy,
步骤,step; move; measure,
不足,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,
擦,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,
猜,to guess,
才,ability; talent; endowment; gift; an expert; only (then); only if; just,
财产,property; CL:筆|笔[bi3],
裁缝,tailor; dressmaker,
财富,wealth; riches,
才干,ability; competence,
材料,"material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]",
裁判,"judgment; to referee; umpire; judge; referee; CL:個|个[ge4],位[wei4],名[ming2]",
财务,financial affairs,
裁员,to cut staff; to lay off employees,
财政,finances (public); financial,
踩,to step on; to tread; to stamp; to press a pedal; to pedal (a bike),
采访,to interview; to gather news; to hunt for and collect; to cover,
采购,to procure (for an enterprise etc); to purchase,
彩虹,rainbow,
采集,to gather; to collect; to harvest,
采纳,to accept; to adopt,
彩票,the lottery; lottery ticket,
采取,"to adopt or carry out (measures, policies, course of action); to take",
菜,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",
菜单,"menu; CL:份[fen4],張|张[zhang1]",
参观,to look around; to inspect; visit and observe,
参加,to participate; to take part; to join,
参考,consultation; reference; to consult; to refer,
参谋,staff officer; give advice,
餐厅,"dining-hall; dining-room; restaurant; CL:間|间[jian1],家[jia1]",
参与,to participate (in sth),
参照,to consult a reference; to refer to (another document),
残疾,disabled; handicapped; deformity on a person or animal,
残酷,cruel; cruelty,
惭愧,ashamed,
残留,to remain; left over; surplus; remnant,
残忍,cruel; mean; merciless; ruthless,
灿烂,to glitter; brilliant; splendid,
舱,cabin; the hold of a ship or airplane,
苍白,pale; wan,
仓促,all of a sudden; hurriedly,
仓库,depot; storehouse; warehouse,
操场,playground; sports field; drill ground; CL:個|个[ge4],
操劳,to work hard; to look after,
操练,drill; practice,
操心,to worry about,
操纵,to operate; to control; to rig; to manipulate,
操作,to work; to operate; to manipulate,
嘈杂,noisy; clamorous,
草,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]",
草案,"draft (legislation, proposal etc)",
草率,careless; negligent; sloppy; not serious,
册,book; booklet; classifier for books,
策划,to plot; to scheme; to bring about; to engineer; planning; producer; planner,
测量,survey; to measure; to gauge; to determine,
策略,tactics; to be tactful,
侧面,lateral side; side; aspect; profile,
厕所,"toilet; lavatory; CL:間|间[jian1],處|处[chu4]",
测验,"test; to test; CL:次[ci4],個|个[ge4]",
层,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),
层出不穷,more and more emerge; innumerable succession; breeding like flies (idiom),
层次,arrangement of ideas; administrative level; level; stage; phase,
曾经,once; already; former; previously; ever; (past tense marker used before verb or clause),
插,to insert; stick in; pierce; to take part in; to interfere; to interpose,
差别,difference; distinction; diversity; disparity,
差距,disparity; gap,
叉子,fork; CL:把[ba3],
茶,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",
查获,to investigate and capture (a criminal); to ferret out; to hunt down and arrest,
岔,"fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)",
差,differ from; short of; to lack; poor,
差不多,almost; nearly; more or less,
刹那,an instant (Sanskrit: ksana); split second; the twinkling of an eye,
诧异,flabbergasted; astonished,
拆,to tear open; to tear down; to tear apart; to open,
柴油,diesel fuel,
搀,to assist by the arm; to mix; to support; to sustain,
馋,slander; defame; misrepresent; to speak maliciously,
缠绕,twisting; to twine; to wind; to pester; to bother,
产品,goods; merchandise; product; CL:個|个[ge4],
产生,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield,
阐述,to expound (a position); to elaborate (on a topic); to treat (a subject),
产业,industry; estate; property; industrial,
颤抖,to shudder; to shiver; to shake; to tremble,
猖狂,savage; furious,
昌盛,prosperous,
尝,to taste; flavor; (past tense marker); already; formerly; ever; once; test,
长,length; long; forever; always; constantly,
长城,the Great Wall,
偿还,to repay; to reimburse,
长江,Changjiang river; Yangtze river,
常年,a whole year; average year,
常识,common sense; general knowledge; CL:門|门[men2],
尝试,to try; to attempt; CL:次[ci4],
长途,long distance,
常务,routine; everyday business; daily operation (of a company),
场,"threshing floor; classifier for events and happenings: spell, episode, bout",
场合,situation; occasion,
敞开,wide open; to open up,
场面,scene; occasion,
场所,location; place,
倡导,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought),
唱歌,to sing a song,
畅通,unimpeded; free-flowing; straight path; unclogged; move without obstruction,
畅销,best seller; chart-topping,
倡议,to suggest; to initiate; proposal; initiative,
抄,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate,
超过,to surpass; to exceed; to outstrip,
超级,transcending; high grade; super-; ultra-,
钞票,"paper money; a bill (e.g. 100 yuan); CL:張|张[zhang1],扎[za1]",
超市,supermarket (abbr.); CL:家[jia1],
超越,to surpass; to exceed; to transcend,
朝,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards,
朝代,dynasty; reign (of a king),
潮流,tide; current; trend,
潮湿,damp; moist,
嘲笑,jeer; mockery; scoff; sneer; make fun of; laugh at (derogatory),
吵,to quarrel; to make a noise; noisy; to disturb by making a noise,
炒,saute; pan-fry; to fry; fried,
吵架,to quarrel; to have a row; CL:頓|顿[dun4],
车库,garage,
车厢,carriage; CL:節|节[jie2],
彻底,thorough; thoroughly; complete,
撤退,retreat,
撤销,to repeal; to revoke; to undo (computing),
沉淀,to settle; to precipitate (solid sediment out of a solution),
陈旧,old-fashioned,
陈列,to display; to exhibit,
沉闷,oppressive (of weather); heavy; depressed; not happy,
沉默,silence; uncommunicative,
陈述,an assertion; to declare; to state,
沉思,contemplate; contemplation; meditation; ponder,
沉重,heavy; hard; serious; critical,
沉着,steady; calm and collected; not nervous,
趁,to avail oneself of; to take advantage of,
衬衫,shirt; blouse; CL:件[jian4],
称心如意,after one's heart (idiom); gratifying and satisfactory; everything one could wish,
称,to weigh; to state; to name; name; appellation; to praise,
称号,name; term of address; title,
称呼,to call; to address as; appellation,
称赞,to praise; to acclaim; to commend; to compliment,
乘,to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed,
橙,orange tree; orange (color),
盛,to hold; contain; to ladle; pick up with a utensil,
承办,to undertake; to accept a contract,
承包,to contract; to undertake (a job),
城堡,castle; rook (chess piece),
成本,"(manufacturing, production etc) costs",
承担,to undertake; to assume (responsibility etc),
程度,degree (level or extent); level; CL:個|个[ge4],
惩罚,penalty; punishment; to punish,
成分,composition; make-up; ingredient; element; component; one's social status; CL:個|个[ge4],
成功,"success; to succeed; CL:次[ci4],個|个[ge4]",
成果,result; achievement; gain; profit; CL:個|个[ge4],
成绩,"achievement; performance records; grades; CL:項|项[xiang4],個|个[ge4]",
成交,to complete a contract; to reach a deal,
成就,accomplishment; success; attain a result; achievement; CL:個|个[ge4],
诚恳,sincere; honest; cordial,
成立,to establish; to set up; to be tenable; to hold water,
承诺,to promise; to undertake to do something; commitment,
澄清,clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts),
承认,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",
诚实,honest; honesty; honorable; truthful,
城市,city; town; CL:座[zuo4],
承受,to bear; to support; to inherit,
成熟,mature; ripe; Taiwan pr. cheng2 shou2,
成天,(coll.) all day long; all the time,
成为,to become; to turn into,
乘务员,"attendant on an airplane, train, boat etc",
呈现,to appear; to emerge; present (a certain appearance); demonstrate,
成效,effect; result,
成心,intentional; deliberate; on purpose,
程序,procedures; sequence; order; computer program,
成语,"Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation; idiom; proverb; saying; adage; set expression; CL:條|条[tiao2],本[ben3],句[ju4]",
成员,member,
成长,to mature; to grow; growth,
诚挚,sincere; cordial,
乘坐,to ride (in a vehicle),
秤,steelyard; Roman balance; CL:臺|台[tai2],
吃,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,
吃惊,to be startled; to be shocked; to be amazed,
吃苦,to bear; hardships,
吃亏,to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately,
吃力,entail strenuous effort; be a strain,
迟到,to arrive late,
迟缓,slow; sluggish,
持久,lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long,
池塘,pool; pond,
持续,to continue; to persist; sustainable; preservation,
迟疑,to hesitate,
池子,pond; CL:個|个[ge4],
尺子,rule; ruler (measuring instrument); CL:把[ba3],
翅膀,"wing; CL:個|个[ge4],對|对[dui4]",
赤道,equator (of the earth or astronomical body),
赤字,(financial) deficit; red letter,
冲,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,
充当,to serve as; to act as; to play the role of,
充电器,battery charger,
冲动,impetus; impulse; emotional impulse; impulsive,
充分,full; abundant,
冲击,an attack; under attack; a shock,
充满,full of; brimming with; very full; permeated,
充沛,abundant; plentiful; vigorous,
充实,rich; substantial; enrich; substantiate,
冲突,conflict; to conflict; clash of opposing forces; collision (of interests); contention,
充足,adequate; sufficient; abundant,
崇拜,to worship; adoration,
重叠,"to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)",
重复,to repeat; to duplicate; CL:個|个[ge4],
崇高,majestic; sublime,
崇敬,to revere; high esteem,
重新,again; once more; re-,
重阳节,Double Ninth or Yang Festival; 9th day of 9th lunar month,
宠物,house pet,
抽空,to find the time to do sth,
抽屉,drawer,
抽象,abstract,
抽烟,"to smoke (a cigarette, tobacco)",
筹备,preparations; to get ready for sth,
踌躇,to hesitate,
稠密,dense,
丑,"clown; surname Chou; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox",
丑恶,ugly; repulsive,
臭,stench; stink; smelly; to smell (bad),
出,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",
出版,to publish; to come off the press; to put out,
初步,initial; preliminary; tentative,
出差,to go on an official or business trip,
出发,to start out; to set off,
初级,junior; primary,
出口,an exit; CL:個|个[ge4]; to speak; to export; (of a ship) to leave port,
出路,a way out (of a difficulty etc),
出卖,to offer for sale; to sell; to sell out or betray,
出色,remarkable; outstanding,
出身,family background; class origin,
出神,entranced; Trance (music genre),
出生,to be born,
出席,to attend; to participate; present,
出息,promise; prospects; future,
出现,to appear; to arise; to emerge; to show up,
出洋相,to make a fool of oneself,
出租车,taxi,
除,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including,
厨房,kitchen; CL:間|间[jian1],
除非,"only if (..., or otherwise, ...); only when; only in the case that; unless",
除了,besides; apart from (... also...); in addition to; except (for),
除夕,(New Year's) Eve,
储备,reserves; to store up,
储存,stockpile; to store; to stockpile; storage,
处分,to discipline sb; to punish; disciplinary action; to deal with (a matter); CL:個|个[ge4],
处境,plight; unfavorable situation,
处理,to handle; to treat; to deal with; to process; CL:個|个[ge4],
储蓄,to deposit money; to save; savings,
处置,to handle; to take care of; to punish,
触犯,offend,
穿,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,
川流不息,the stream flows without stopping (idiom); unending flow,
穿越,to pass through; to cross; to overcome,
船,"a boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",
传播,to disseminate; to propagate; to spread,
船舶,shipping; boats,
传达,to pass on; to convey; to relay; to transmit; transmission,
传单,leaflet; flier; pamphlet,
传递,to transmit; to pass on to sb else,
传染,to infect; contagious,
传授,to impart; to pass on; to teach,
传说,legend; folklore; tradition; it is said; they say that...,
传统,tradition; traditional; convention; conventional; CL:個|个[ge4],
传真,fax; facsimile,
喘气,to breathe deeply; to pant,
